##### NAMES FOR AUSTRIA-HUNGARY #####

### CROWN OF HUNGARY

## SOUTH GERMANY

# Carniola

1873 = {"Chuur" "Chuir"}
4722 = {"Illanz" "Illanz"}

# Tirol

73 = {"Inntoi" "Innschbruck"}
110 = {"Trient" "Trient"}
1768 = {"Lianz" "Lianz"}
4710 = {"Vorarlbeag" "Breagaz"} # r
4758 = {"Etschdal" "Merån"}

# Upper Bavaria

65 = {"Minga" "Minga"}
2955 = {"Ingoistod" "Ingoistod"}
4707 = {"Wassabuag am Inn" "Wassabuag am Inn"}
4708 = {"Freising" "Freising"}

# Upper Franconia

66 = {"Bambeag" "Bambeag"}
67 = {"Niamberg" "Niamberg"}
4716 = {"Coburg" "Coburg"}
4717 = {"Bareid" "Bareid"}

# West Swabia

70 = {"Stuagart" "Stuagart"}
4712 = {"Konstonz" "Konstonz"}
4713 = {"Urscha" "Reutlingen"}

## FRANCE

195 = {"Lemaugen" "Lemowiz"}
4765 = {"Muihausen" "Muihausen"} # r

## LOW COUNTRIES

94 = {"Luxnbuag" "Luxnbuag"} # r

## POLAND

# Silesia

2966 = {"Glögau" "Glögau"}
4238 = {"Ligniz" "Ligniz"}
264 = {"Breslau" "Breslau"}
4723 = {"Opln" "Opln"}
263 = {"Radibor" "Radibor"}

# Central Poland

1939 = {"Lentschiz" "Lentschiz"}

# Malopolska

2960 = {"Nei Sandec" "Nei Sandec"}
4527 = {"Heiliggreiz" "Kieliz"}

## RUTHENIA

# Red Ruthenia

2961 = {"Lembärg" "Lembärg"}
